frequency_filtre,NF_01_filtre,S11_01_filtre,S21_01_filtre,S12_01_filtre,S22_01_filtre,NF_01s_filtre,S11_01s_filtre,S21_01s_filtre,S12_01s_filtre,S22_01s_filtre,NF_02_filtre,S11_02_filtre,S21_02_filtre,S12_02_filtre,S22_02_filtre,NF_02s_filtre,S11_02s_filtre,S21_02s_filtre,S12_02s_filtre,S22_02s_filtre,NF_03_filtre,S11_03_filtre,S21_03_filtre,S12_03_filtre,S22_03_filtre,NF_03s_filtre,S11_03s_filtre,S21_03s_filtre,S12_03s_filtre,S22_03s_filtre
50000000000,15.385643,-6.6408377,-6.8251853,-49.081032,-1.6619161,10.992845,-5.4905753,-6.6743345,-61.12381,-1.6632133,5.0676312,-5.0528054,-6.3244934,-53.198429,-1.6513641,9.2982101,-5.0528054,-6.3244934,-53.198429,-1.6513641,5.3291597,-6.3354015,-6.683208,-55.172138,-2.465755,10.271196,-6.3354015,-6.683208,-55.172138,-2.465755
50017000000,16.353542,-6.6130686,-6.7058067,-53.385464,-1.6515988,11.332418,-5.4782524,-6.5624833,-63.658241,-1.6520957,17.067591,-5.0809379,-6.2111716,-50.911694,-1.6498859,10.032097,-5.0809379,-6.2111716,-50.911694,-1.6498859,16.108158,-6.3404665,-6.5856328,-56.04583,-2.4647012,10.800635,-6.3404665,-6.5856328,-56.04583,-2.4647012
50034000000,13.115379,-6.6341906,-6.6370425,-62.422993,-1.6233581,12.828122,-5.4552464,-6.4899135,-65.009697,-1.61941,13.414629,-5.0546613,-6.1451392,-63.600716,-1.6321946,11.966723,-5.0546613,-6.1451392,-63.600716,-1.6321946,11.084082,-6.3442326,-6.5080032,-52.180965,-2.4519584,12.453136,-6.3442326,-6.5080032,-52.180965,-2.4519584
50051000000,17.306452,-6.5885272,-6.5783691,-62.511742,-1.6045892,12.202078,-5.4084854,-6.4307847,-54.227577,-1.5978254,17.18495,-5.0322032,-6.0900321,-53.395428,-1.6266518,11.53712,-5.0322032,-6.0900321,-53.395428,-1.6266518,16.781483,-6.2909851,-6.448709,-54.993744,-2.4547946,12.588155,-6.2909851,-6.448709,-54.993744,-2.4547946
50068000000,-0.5295797,-6.5905485,-6.4761252,-54.688332,-1.5986011,12.098102,-5.4289165,-6.3256721,-51.53196,-1.5979577,-3.2301459,-5.0259614,-5.9795709,-56.868065,-1.6267655,11.819142,-5.0259614,-5.9795709,-56.868065,-1.6267655,12.685445,-6.3039775,-6.3559074,-58.404789,-2.4611511,12.737674,-6.3039775,-6.3559074,-58.404789,-2.4611511
50085000000,26.222391,-6.6258154,-6.3457146,-52.041122,-1.615939,11.68753,-5.4594264,-6.1971574,-60.51844,-1.6124024,27.4375,-5.0658073,-5.8545818,-59.766174,-1.6335089,12.159249,-5.0658073,-5.8545818,-59.766174,-1.6335089,24.349033,-6.3505263,-6.2343097,-70.095848,-2.4694748,12.382565,-6.3505263,-6.2343097,-70.095848,-2.4694748
50102000000,12.091264,-6.6620054,-6.2468443,-70.415588,-1.6447452,12.388172,-5.4981241,-6.1020718,-50.344288,-1.6427852,13.140388,-5.114748,-5.7723546,-57.55043,-1.6452484,13.280767,-5.114748,-5.7723546,-57.55043,-1.6452484,11.152987,-6.4017458,-6.1530972,-57.155338,-2.4782135,13.268414,-6.4017458,-6.1530972,-57.155338,-2.4782135
50119000000,25.116362,-6.6879969,-6.1886845,-62.307877,-1.6709266,12.787207,-5.5199971,-6.0382509,-56.615402,-1.6667557,26.348524,-5.1382093,-5.7078843,-61.531132,-1.6550413,13.852147,-5.1382093,-5.7078843,-61.531132,-1.6550413,23.506678,-6.423676,-6.0907984,-58.252419,-2.4819844,13.666485,-6.423676,-6.0907984,-58.252419,-2.4819844
50136000000,5.0454946,-6.6702747,-6.128685,-51.688877,-1.6788971,14.881232,-5.5194254,-5.98423,-49.104492,-1.6789978,0.34198558,-5.144527,-5.655622,-49.303223,-1.6622926,14.592203,-5.144527,-5.655622,-49.303223,-1.6622926,6.8143578,-6.4343448,-6.0394192,-63.173355,-2.4801335,14.369528,-6.4343448,-6.0394192,-63.173355,-2.4801335
50153000000,8.2534876,-6.6496782,-6.0139966,-56.70586,-1.6673503,13.751904,-5.5025291,-5.8651385,-54.617985,-1.665954,8.1698847,-5.1223097,-5.5326943,-67.54924,-1.6576943,13.491703,-5.1223097,-5.5326943,-67.54924,-1.6576943,6.9738698,-6.4004617,-5.9225068,-50.468086,-2.4787555,13.361239,-6.4004617,-5.9225068,-50.468086,-2.4787555
50170000000,6.049706,-6.6842413,-5.9231677,-53.483276,-1.6462978,13.330336,-5.5246034,-5.7733636,-51.77821,-1.6420881,8.8088055,-5.1411872,-5.449439,-53.090885,-1.6493992,14.433741,-5.1411872,-5.449439,-53.090885,-1.6493992,1.4229636,-6.4321785,-5.8387966,-49.867504,-2.4778605,12.271017,-6.4321785,-5.8387966,-49.867504,-2.4778605
50187000000,16.269608,-6.689321,-5.8188028,-58.82119,-1.6320684,11.463733,-5.5248122,-5.6661663,-53.21384,-1.6266427,17.404333,-5.1320777,-5.3427768,-62.212223,-1.6488686,12.594123,-5.1320777,-5.3427768,-62.212223,-1.6488686,15.073498,-6.4312949,-5.7334924,-51.188374,-2.4823475,10.062408,-6.4312949,-5.7334924,-51.188374,-2.4823475
50204000000,22.136143,-6.6901388,-5.8073578,-68.406998,-1.6408437,12.52365,-5.525425,-5.6540208,-63.175404,-1.6356912,23.352762,-5.1517563,-5.3372459,-59.04789,-1.6586233,13.686885,-5.1517563,-5.3372459,-59.04789,-1.6586233,20.48694,-6.4590025,-5.7332373,-50.132763,-2.494525,11.097301,-6.4590025,-5.7332373,-50.132763,-2.494525
50221000000,20.2071,-6.7254558,-5.6554642,-60.325996,-1.66559,10.215516,-5.560811,-5.5048146,-60.767735,-1.6631862,21.555246,-5.1734467,-5.1795969,-60.555969,-1.6806754,11.425235,-5.1734467,-5.1795969,-60.555969,-1.6806754,18.817551,-6.4854493,-5.5855308,-59.760387,-2.5084219,9.2161837,-6.4854493,-5.5855308,-59.760387,-2.5084219
50238000000,4.3483744,-6.7267189,-5.5784349,-69.097046,-1.6899228,11.620107,-5.567668,-5.4298434,-52.176914,-1.6911362,5.0794444,-5.1976991,-5.1146464,-52.828766,-1.69444,13.047062,-5.1976991,-5.1146464,-52.828766,-1.69444,5.690311,-6.514595,-5.527338,-52.682755,-2.5141096,9.9948378,-6.514595,-5.527338,-52.682755,-2.5141096
50255000000,1.8407212,-6.7008305,-5.4331884,-59.416687,-1.6962765,11.294197,-5.5474677,-5.2780652,-53.833424,-1.696425,7.1322694,-5.178441,-4.9592934,-56.553661,-1.6942247,12.846517,-5.178441,-4.9592934,-56.553661,-1.6942247,0.69300032,-6.4864573,-5.3739524,-55.743092,-2.50804,9.1411676,-6.4864573,-5.3739524,-55.743092,-2.50804
50272000000,5.9803252,-6.7160382,-5.4507842,-53.570545,-1.6895308,12.320447,-5.5777678,-5.2987022,-64.943527,-1.6872127,7.201705,-5.2099872,-4.9943757,-57.969234,-1.6878495,13.560145,-5.2099872,-4.9943757,-57.969234,-1.6878495,0.054333489,-6.5127974,-5.4055476,-56.391113,-2.4970953,10.26561,-6.5127974,-5.4055476,-56.391113,-2.4970953
